loss,root_mean_squared_error,val_loss,val_root_mean_squared_error,lr
192163600.0,13862.30859375,282241984.0,16800.05859375,0.001
192174080.0,13862.6865234375,282241568.0,16800.046875,0.001
192158960.0,13862.1416015625,282241504.0,16800.044921875,0.001
192151280.0,13861.8642578125,282241312.0,16800.0390625,0.001
192143312.0,13861.5771484375,282241248.0,16800.037109375,0.001
192140240.0,13861.4658203125,282240928.0,16800.02734375,0.001
192165360.0,13862.3720703125,282240448.0,16800.013671875,0.001
192140032.0,13861.458984375,282240128.0,16800.00390625,0.001
192157968.0,13862.10546875,282239680.0,16799.990234375,0.001
192148672.0,13861.7705078125,282239136.0,16799.974609375,0.001
192127440.0,13861.00390625,282238944.0,16799.96875,0.001
192142592.0,13861.55078125,282238496.0,16799.955078125,0.001
192130224.0,13861.1044921875,282238368.0,16799.951171875,0.001
192115632.0,13860.578125,282238176.0,16799.9453125,0.001
192131200.0,13861.1396484375,282237952.0,16799.939453125,0.001
192106448.0,13860.2470703125,282237888.0,16799.9375,0.001
192110416.0,13860.390625,282237824.0,16799.935546875,0.001
192117760.0,13860.6552734375,282237632.0,16799.9296875,0.001
192121856.0,13860.802734375,282237440.0,16799.923828125,0.001
192119616.0,13860.7216796875,282237312.0,16799.919921875,0.001
192098704.0,13859.9677734375,282237056.0,16799.912109375,0.001
192081664.0,13859.3525390625,282236928.0,16799.908203125,0.001
192095296.0,13859.8447265625,282236640.0,16799.900390625,0.001
192105792.0,13860.2236328125,282236384.0,16799.892578125,0.001
192117104.0,13860.6318359375,282236384.0,16799.892578125,0.001
192106320.0,13860.2421875,282236128.0,16799.884765625,0.001
192110080.0,13860.3779296875,282235808.0,16799.875,0.001
192092560.0,13859.74609375,282235616.0,16799.869140625,0.001
192085200.0,13859.48046875,282235200.0,16799.857421875,0.001
192096752.0,13859.8974609375,282235008.0,16799.8515625,0.001
192077648.0,13859.2080078125,282235008.0,16799.8515625,0.001
192073024.0,13859.041015625,282234816.0,16799.845703125,0.001
192086400.0,13859.5234375,282234496.0,16799.8359375,0.001
192104192.0,13860.166015625,282234240.0,16799.828125,0.001
192081200.0,13859.3359375,282233952.0,16799.8203125,0.001
192073296.0,13859.05078125,282233696.0,16799.8125,0.001
192060752.0,13858.5986328125,282233504.0,16799.806640625,0.001
192067088.0,13858.8271484375,282233056.0,16799.79296875,0.001
192069888.0,13858.927734375,282232640.0,16799.78125,0.001
192060336.0,13858.5830078125,282232192.0,16799.767578125,0.001
